,M,T,W,R,F,Tmax,Tmin,FeelsLike,Precipitation,WindSpeed,CloudCover,RelativeHumidity,Demand
276,0,1,0,0,0,69.3,52.2,59.4,0.0,6.6,66.6,79.17,321.0
277,0,0,1,0,0,71.0,45.6,44.4,0.0,7.6,1.8,62.16,1001.0
278,0,0,0,1,0,71.0,44.2,43.3,0.0,7.8,0.3,59.39,291.0
279,0,0,0,0,1,70.4,42.2,55.7,0.0,7.3,28.4,71.91,948.0
280,1,0,0,0,0,68.7,50.9,58.5,0.0,4.2,69.3,79.99,1001.0
281,0,1,0,0,0,63.3,57.4,59.7,0.34,6.0,78.2,91.53,301.0
282,0,0,1,0,0,64.4,58.6,61.2,1.42,7.1,78.9,95.67,840.0
283,0,0,0,1,0,73.5,59.4,65.6,0.0,4.8,80.9,86.92,318.0
284,0,0,0,0,1,76.3,60.7,66.8,0.0,3.5,71.7,84.93,1026.0
285,1,0,0,0,0,79.6,61.2,69.4,0.2,8.8,57.8,78.99,971.0
286,0,1,0,0,0,66.6,52.8,56.4,0.96,9.7,72.5,93.81,299.0
287,0,0,1,0,0,67.5,45.5,46.1,0.0,13.8,34.0,77.69,898.0
288,0,0,0,1,0,69.8,46.5,56.9,0.0,10.9,34.1,76.25,306.0
289,0,0,0,0,1,62.0,40.1,46.2,0.0,5.4,32.5,75.35,988.0
290,1,0,0,0,0,66.9,39.7,47.5,0.0,6.4,19.6,74.43,908.0
291,0,1,0,0,0,68.8,42.5,41.8,0.0,10.6,20.1,77.16,291.0
292,0,0,1,0,0,67.6,47.8,55.8,0.0,6.6,39.1,76.45,941.0
293,0,0,0,1,0,73.7,43.1,56.6,0.0,10.9,10.7,78.68,289.0
294,0,0,0,0,1,75.2,47.6,59.9,0.0,12.2,23.0,79.47,960.0
295,1,0,0,0,0,79.3,49.6,62.8,0.0,5.8,32.8,79.28,1037.0
296,0,1,0,0,0,72.1,54.9,62.7,0.0,6.8,67.7,81.04,315.0
297,0,0,1,0,0,64.5,60.0,62.4,0.89,6.3,89.0,95.03,856.0
298,0,0,0,1,0,72.7,63.0,66.8,0.92,9.0,90.9,86.88,310.0
299,0,0,0,0,1,72.8,60.9,65.8,0.01,6.9,86.1,88.98,969.0
300,1,0,0,0,0,69.0,47.6,61.5,0.06,8.7,60.7,78.48,999.0
301,0,1,0,0,0,75.5,42.2,55.3,0.0,3.6,11.3,71.69,335.0
302,0,0,1,0,0,76.5,44.6,59.7,0.0,12.5,27.7,75.59,953.0
303,0,0,0,1,0,62.5,43.0,49.5,0.04,8.6,76.9,67.46,290.0
304,0,0,0,0,1,60.9,34.6,31.9,0.0,4.3,21.5,65.24,955.0
305,1,0,0,0,0,68.7,37.0,40.1,0.0,4.9,8.6,64.34,953.0
306,0,1,0,0,0,73.5,44.0,43.0,0.0,5.9,21.1,72.04,318.0
307,0,0,1,0,0,76.6,48.0,47.8,0.0,3.4,10.8,78.25,1003.0
308,0,0,0,1,0,78.5,48.4,61.6,0.0,5.6,10.5,76.39,329.0
